transaction_id,order_date,department,processing_time_minutes,amount,status,error_flag
1,2024-04-12,Operations,38,7213.77,Completed,0
2,2024-12-14,Operations,17,5839.31,Completed,0
3,2024-09-27,Settlements,5,6318.62,Completed,0
4,2024-04-16,Settlements,59,1031.04,Completed,0
5,2024-03-12,Payments,16,8576.1,Completed,0
6,2024-07-07,Compliance,30,7722.08,Completed,0
7,2024-01-21,Settlements,17,5945.87,Completed,0
8,2024-04-12,Payments,33,9194.09,Completed,0
9,2024-05-01,Settlements,57,1769.52,Completed,0
10,2024-08-02,Payments,41,6897.91,Completed,0
11,2024-11-26,Payments,20,9633.52,Completed,0
12,2024-03-28,Compliance,60,3169.09,Completed,0
13,2024-04-09,Settlements,80,251.39,Delayed,0
14,2024-12-25,Payments,49,7375.19,Completed,0
15,2024-05-31,Operations,17,169.11,Completed,0
16,2024-05-10,Operations,44,8738.08,Completed,0
17,2024-05-29,Operations,49,657.38,Completed,0
18,2024-11-04,Compliance,20,6562.37,Completed,0
19,2024-09-14,Payments,80,3834.12,Delayed,0
20,2024-12-09,Compliance,55,2113.07,Completed,0
21,2024-10-20,Settlements,21,8992.76,Completed,0
22,2024-07-10,Settlements,17,7487.83,Completed,0
23,2024-10-03,Payments,48,3470.36,Completed,0
24,2024-06-09,Operations,95,2913.12,Delayed,1
25,2024-11-09,Payments,8,7386.52,Completed,0
26,2024-01-22,Payments,34,8382.05,Completed,0
27,2024-09-09,Payments,44,7186.92,Completed,0
28,2024-08-23,Compliance,57,6435.89,Completed,0
29,2024-12-10,Settlements,44,2356.45,Completed,0
30,2024-02-18,Payments,16,8542.76,Completed,0
31,2024-02-28,Payments,7,7521.65,Completed,0
32,2024-06-18,Payments,19,5221.02,Completed,0
33,2024-07-06,Compliance,43,5164.72,Completed,0
34,2024-09-27,Compliance,15,5734.81,Completed,0
35,2024-07-08,Compliance,63,8299.94,Delayed,0
36,2024-06-23,Payments,22,7448.37,Completed,0
37,2024-02-20,Operations,14,8576.83,Completed,0
38,2024-12-29,Operations,37,5122.1,Completed,0
39,2024-02-24,Operations,20,6284.03,Completed,0
